code,year,type,subtype,fatalities,location,source,description
,1903.06,riot,,1,"St Louis, MO",HC_1903_06_16.pdf,Sailors vs. farmer and his employees
,1903.06,riot,race,1,"Wilmington, DE",Gilje,"June: Black man accused of murdering a white girl taken by a mob from authorities, brought to a location near the scene of the murder and burned at the stake. The mob also attacked blacks in the street. When one of the lynchers was arrested and then bailed, blacks armed themselves, marched through the streets and fought with whites. There was some shooting. Four men were injured."
,1903.07,lynching,race,1,Beaumont,Gilje,"July: Mooney Allen, a black accused of murder, was lynched."
,1903.07,riot,race,2,Indiana,HC_1903_07_06.pdf,2 blacks killed
,1903.10,riot,race,2,"Louisville, KY",NYT_1903_10_05.pdf,"An altercation between two white men, members of the Boat Club, and 20 negroes results in one of them killed and the second fatally wounded"
,1903.11,lynching,race,2,"Lincoln Co, MS",Gilje,"November: Band of night riding whitecappers shoot and kill Henry List. Shortly thereafter someone killed another black, Eli Hilson. Both men were blacks who owned their farms."
,1903.11,riot,political,9,"Louisville, KY",NYT_1903_11_04.pdf,Bitter feeling over the election in Kentucky to-day led to fights in which several persons were killed and many were wounded.
,1903.12,riot,political,1,"Barre, VT",HC_1903_12_24.pdf,Socialists vs anarchists
,1904.02,riot,"race, extralegal",5,"Doddsville, MS",Gilje,"February: Five blacks killed, two burned alive by a mob searching for the murderer of a white planter."
,1904.02,lynching,race,2,"Vicksburg, MS",Gilje,"February: Whites brutally lynch a black man and his wife. The man had been charged with murdering a white planter and both man and wife fled and were captured. The two were tied to trees and savagely tortured before they were burned alive. The torture included chopping off of fingers, insertion of a large corkscrew that tore out ""big pieces of raw, quivering flesh"" when it was pulled out, pulled an eyeball out of its socket with a stick."
,1904.03,lynching,race,1,"Springfield, OH",EARR II: 619,"Richard Dixon, whi killed a white policeman, was lynched by a crowd."
D,1904.03,riot,"race, extralegal",1,"Springfield, OH",Gilje,"White mob hang black man, Richard Dixon, from a telephone poll for allegedly shooting and killing a policeman. Following the lynching the mob rampaged through the black neighborhood known as the ""levee."" Afterwards, troops were called in.	"
,1904.03,riot,race,13,"St. Charles, AR",NYT_1904_04_03.pdf,"Two weeks ago thirteen negroes were lynched in St. Charles, Ark."
,1904.04,riot,military,1,"Pensacola, FL",HC_1904_04_18.pdf,Sailors vs. police
,1904.06,riot,race,1,"Lebanon Junction, KY",Gilje,"June: When a group of whites approached the jail at night to lynch Marie Thompson, accused of murdering a white, a number of blacks opened fire from the rear, scattering the whites. On the promise of protection for the prisoner by the sheriff, the blacks left. Two hours later a white mob entered the jail, firing nearly a handful of shots into Thompson."
,1904.08,lynching,"race, extralegal",2,"Statesboro, GA",Gilje,"Whites lynch 2 illiterate black turpentine workers. The two had been convicted of murdering a white family. Crowd of 10,000 there, seized the men - who were pointed out by the sheriff - taken into the wood and burned alive. Militia on hand did nothing to stop the lynching."
,1904.09,lynching,extralegal,1,"Huntsville, AL",Gilje,"September: Naples, accused ot murder, lynched."
,1905.00,assassination,political,1,ID,Kirkham et al. 1970,"Frank Steunenberg, ex-Governon of Idaho was killed by dynamite. Assailant: Harry Orchard and labor union, against which Governonr called out troops."
,1905.04,riot,political,4,"Hempstead, TX",Gilje,April: Gunfight at court house meeting between two factions of Democratic party - wets and dries. At least four men killed including congressman John Pinkway.
,1905.05,riot,"labor, race",4,Chicago,Gilje,May: Teamsters strike still brought out tension between blacks and whites even after employers stopped importing black strikebreakers. On the 16th a black shot and killed an 8 year old boy who had insulted him. During the following week mobs dragged blacks off street cars and beat them up. On May 21 a white bartender shot and killed a black in a brawl. Blacks retaliated throughout the day. Two were killed and 12 injured.
,1906.00,lynching,race,3,"Salsibury, NC",Gilje,"Several blacks hanged, their bodies riddled with bullets, allegedly for committing brutal axe murders."
,1906.01,riot,race,12,"Chattanooga, TN",EARR,"Edward Johnson, a black, lynched by a white mob, sparking a riot"
,1906.02,riot,religion,1,"Chicago, IL",HC_1906_02_12.pdf,Among a church congregation. Probably a fatal shooting.
,1906.03,lynching,race,1,"Chattanooga, TN",Gilje,"March: A mob of 200 stormed a jail and lynched a black man. Created national uproar. There was another attempted lynching a few days later, successfully prevented by the militia."
,1906.04,riot,race,3,"Springfield, MO",EARR II:608,Southwest Missouri Riots. A white  mob lynches 2 blacks (injustly) accused of raping a white woman and an alleged killer.
,1906.07,lynching,race,1,"Atlanta, GA",Gilje,July: Mob lynched a black man accused of rape.
,1906.07,riot,labor,1,NYC,Gilje,"July: Union iron workers harass non-union workers in some building. When the company hired guards to protect the non-union men, the angered union men attacked the watchmen, beating them and dropping one from the 8th to the 5th floors. He died."
D,1906.08,riot,race,1,"Brownsville, TX",EARR I:78,"Frank Natus, a local bartender, killed, policeman Dominguez lost an arm in a shooting spree. Black soldiers were accused as perpetrators. "
,1906.08,riot,"race, military",1,"Brownsville, TX",Gilje,"August: A black battalion had been assigned to a nearby fort. There ws a lot of tension with whites. On night of August 13, 10 to 20 black soldiers went on a shooting spree, firing into several houses. One policeman was wounded, a bartender killed. No one in the battalion provided information on who was involved. Military gave dishonorable discharge to whole lot."
,1906.09,riot,race,12,"Atlanta, GA",EARR,"10 blacks, 2 whites (official death toll); unoffical = 50."
D,1906.09,riot,race,10,"Atlanta, GA",Gilje,"September: Claiming that black men had assaulted white women, whites attacked at least 10, maybe 25 blacks killed. Troops were sent to the area. Blacks retaliated. Whites invaded black neighborhood. Beat blacks in downtown, etc., elsewhere."
,1906.10,riot,political,1,"Mobile, AL",NYT_1906_10_03.pdf,A storming of prison (the suspect was held elsewhere) resulted in a death of an officer
,1906.12,riot,race,18,"Wahalak, Kemper Co, MS",Gilje,"December: Militia ordered in to put down Christmas Eve riot. After lynching a black man, whites invaded Wahalak. A gun battle ensued. After 48 hours of intermittent fighting, one white and 16 blacks killed."
,1907.03,riot,race,4,Stamps. AR,NYT_1907_03_20.pdf,An altercation between whites and blacks: two negro women fatally cut a white woman and her daughter with razors. They perpetrators were later lynched by a mob.
,1907.04,riot,labor,1,"Lorain, OH",NYT_1907_04_05.pdf,A striking riveter was shot by one of the company's detectives.
,1907.05,riot,extralegal,3,"Mendota, IL",HC_1907_05_25.pdf,Citizens vs circus men
D,1907.08,riot,race,2,NYC,NYT_1907_08_05.pdf,"A race riot between whites and blacks in ""the worst block in Harlem."" "
,1907.08,riot,race,2,NYC,HC_1907_08_05.pdf,Blacks vs whites
,1907.12,riot,race,1,"Hopkinsville, KY",Gilje,"December: About 400 Night Riders raid the city, seizing telephone stations, etc. They showed great precision, even if their leader, D.r David amoss, was accidentally wounded. Two tobacco warehouses were destroyed and fires spread to several other properties. A posse pursed a part of the raiders, killing one and wounded another."
,1908.00,lynching,extralegal,1,"Montgomery Co, TN",Gilje,Night riders kill Hunter because of his vocal opposition to their efforts.
,1908.01,lynching,race,1,"Lincoln County, MS",Gilje,"January: Even though Ely Pigott, a black, was convinced to plead guilty of rape and a legal execution almost assured - he had originally been charged with assault on a white woman but was promised a diginifed death if he confessed - 500 whites broke through a militia escort and shot Pigott to death."
,1908.03,riot,race,2,"Birmingham, KY",Gilje,"March: About 100 Night Riders raided three black homes, intending to whip blacks and drive them out of the state. Otis Blick, a black, resisted, firing into the band, wounding one. The Night Riders fired into Blick's cabin, killing him and a baby, wounding six others."
,1908.03,lynching,race,1,"Carlisle, Nicholas Co, KY",Gilje,March: 50 Night Riders called Hiram Hodges to his door and fatally wounded him with bird shot. He had planned to grow a crop.
,1908.03,lynching,race,1,"Golden Pond, KY",Gilje,"March: About 40 Night Riders whip and fatally wound Tom Weaver, a black who worked in the Planters' Association prizing house."
,1908.03,riot,race,1,"Port Royal, KY",Gilje,"March: About 32 Night Riders seized telephone station and whipped a man they claimed was a Hill Billy spy. Some Hill Billy's ambushed these Night Riders on their return from the raid, killing one and wounding another. Waldrop: this raid outside Clarkesville, Tenn."
,1908.07,lynching,race,1,"Beaumont, TX",Gilje,July: Unnamed black lynched. It was a case of mistaken identity.
,1908.08,lynching,"race, extralegal",1,"Birmingham district, AL",Gilje,August: During strike of miners and metalworkers a black was lynched. He was accused of dynamiting the home of a non-union miner.
,1908.08,lynching,race,4,"Mussellville, KY",Gilje,August: Mob lynched four blacks.
D,1908.08,riot,race,8,"Springfield, IL",HC_1908_08_18.pdf,"Mabel Hallam, white, accused George Richardson, black, of raping her. Richardson and another were arrested. A white mob wanted to lynch them, but the two were moved away. The mob instead attacked the black neighborhood. 8 blacks were killed, one of them lynched."
,1908.08,riot,race,13,"Springfield, IL",Gilje,"August: Reports that a black man had assaulted a white woman in her home, agitated whites. A mob tried to seize the arrested man from jail but could not. Instead, they killed two other blacks and destroyed black-owned property. They also attacked the property of a white man who had driven two accused black rapists to safety. Six died in riots, a seventh - a black infant - died of exposure during black exodus after riot. Some gun battles with officials occurred. Four deaths were whites killed by stray bullets. At least 1800 militia sent to Springfield. There were about 150 arrests, but only one conviction - by confession."
,1908.10,riot,race,5,"Hickman, KY",Gilje,"October: About 50 Night Riders raided home of Dave Walker, a black. They accused Walker of cursing a white woman and drawing a gun on a white man. The NRs set fire to his house and after Walker shot a Night Rider, they shot six members of Walker's family as they left the burning building. Walker and two young children died there, his wife the next day. The NR who was wounded, also died."
,1908.10,lynching,race,1,"Reelfoot Lake, TN",Gilje,"October: Night Riders capture and attempt to intimidate two lawyers who control the lake. Hanging one by the noose, they end up blasting away at him (Rankin), killing the man. The other lawyer dove into the lake, hid behind a log and managed to get away."
,1908.12,lynching,"race, extralegal",1,"Cairo, IL",Gilje,"December: Large mob lynch black man accused of killing white woman. Seize him from sheriff's custody. 500 bullets fired into his body, which was then abused and burned."
,1909.00,lynching,extralegal,2,"Alexander County, IL",Gilje,"Sheriff allowed mob to lynch two prisoners; one black, one white. The white was just hanged. The black was hanged, shot and his body burned. Moreover the crowd mutilated the corpse, placing the head on a (??). Iden B. Wells-Barnett worked successfully to get the sheriff dismissed."
,1909.00,lynching,race,2,"Rockwell County, TX",Gilje,Whites lynched two black men.
,1909.04,lynching,"race, extralegal",3,Texas,Gilje,April: Mob lynches three blacks for killing deputy sheriff.
,1909.08,riot,labor,8,"McKees Rocks, PA",Gilje,"August: Major battle erupted after strikers from a Pressed Steel Car Co., searched trolly and found a noted private detective and killed him. State constabulary retaliated, shooting into crowds. Massive riots broke out and street cars demolished, gun battles, stores smashed, etc. Total dead 7 strikers, 4 from forces of law and order."
,1909.08,lynching,race,1,"Monroe, LA",Gilje,August: Black lynched because he sued a white man for shooting his cow.
,1909.08,lynching,extralegal,3,"Montgomery Co, GA",Gilje,August: Three men accused with murder and lynched.
,1909.08,lynching,extralegal,1,"St. Joseph, MO",Gilje,August: Mob lynches a white man for murder of a farmer.
,1909.12,lynching,race,1,"Cochran, GA",Gilje,December: Mob burns negro preacher.
,1910.00,riot,race,1,"Houston, TX",EARR I: 319,Riots following the victory of Johnson over Jeffires in Reno.
,1910.00,riot,labor,3,"Jersey City, NJ",Gilje,"During Express Drivers' strike there was repeated rioting around the ferries with rocks, etc. thrown and some shooting. One private detective killed and two strikers."
,1910.00,riot,race,1,"Keystone, WV",EARR I: 319,Riots following the victory of Johnson over Jeffires in Reno.
,1910.00,riot,race,2,"Little Rock, AR",EARR I: 319,Riots following the victory of Johnson over Jeffires in Reno.
,1910.00,riot,race,2,"Mounds, IL",EARR I: 319,Riots following the victory of Johnson over Jeffires in Reno.
,1910.00,lynching,extralegal,1,"Newark, OH",Gilje,White mob lynches a white man.
,1910.00,riot,race,2,"Shreveport, LA",EARR I: 319,Riots following the victory of Johnson over Jeffires in Reno.
,1910.00,riot,race,3,"Uvaldia, GA",EARR I: 319,Riots following the victory of Johnson over Jeffires in Reno.
,1910.02,lynching,race,1,"Beaumont, TX",Gilje,February: Unnamed black accused of rape lynched.
,1910.02,riot,labor,1,"Bethlehem, PA",Gilje,"February: Steel strikers battle with state police. After one bystander was killed, both sides began firing at one another. "
,1910.02,riot,labor,3,Philadelphia,Gilje,"February-March: Street car strike brings on numerous incidents of rioting by strikers and their supporters who burned street cars, dragged motormen from vehicles and smashed windows, etc. Some deaths occurred. Police also fought with strikers. Many separate incidents. Crowds of as much as 10,000 battled police. In at least one case rioter killed motorman."
X,1910.03,riot,labor,0,Cleveland,NYT_1910_03_21.pdf,"A man was shot in the leg, not killed"
,1910.03,lynching,race,1,"Dallas, TX",Gilje,"March: Mob seized Allen Brooks, an elderly black charged with assaulting a three year old white child, from courthouse as trial was about to begin. He was thrown out a 2nd story window, dragged through town and hanged from a telephone poll. As many as 5,000 watched the lynching."
,1910.03,riot,extralegal,3,"Mobile, AL",HC_1910_03_04.pdf,
,1910.03,riot,labor,6,Philadelphia,NYT_1910_03_07.pdf,6 people were killed since the rioting began
,1910.03,riot,race,2,"Tampa, FL",HC_1910_03_07.pdf,2 whites killed
,1910.06,riot,race,4,"Lincoln County, MS",Gilje,"June: Argument between Jim Brady, a black, and landlord over accoutns led to violence. Brady was seized and flogged by whites and then chased shortly thereafter by a lynch mob. His friends sought to protect him. Shots were exchanged. Three blacks (including Brady probably) and one white killed."
,1910.07,lynching,race,2,"Charleston, MO",Gilje,July: Mob of whites seized two blacks suspected in a murder case. They hanged one in the court house square and the other in the black section of town.
,1910.07,riot,,2,"Chicago, IL",HC_1910_07_18.pdf,
,1910.07,riot,labor,2,NYC,HC_1910_07_29.pdf,"Two man were shot and killed, four dangerously wounded"
,1910.07,riot,race,18,"Palestine, TX",EARR II:493,"A white mob of >200 drove blacks into a wooded area and killed them. At least 18 people killed, pther accounts of 30-40 killed"
,1910.09,riot,labor,7,Chicago,Gilje,"September: Garment workers strike engulfed entire industry. Guards escorting scabs fought with pickets. During 133 days of the strike, 7 were killed, many injured and 874 arrested."
,1910.09,lynching,extralegal,2,"Tampa, FL",Gilje,"September: While being transferred from one jail to another Angelo Albano and (??) Ficarrotha were seized by 20-30 armed men, driven off in automobiles and hanged from an oak tree. The men had been accused of shooting Easterling, a non-striking worker, during cigar worker strike."
,1910.09,riot,labor,1,"Tampa, FL",Gilje,"September: During cigar worker strike, nonstriking worker J.F. Easterling was shot by strikers."
,1910.10,terrorism,political,26,Los Angeles,NYT,Los Angeles Times bombing
,1910.12,riot,labor,3,"Greensburg, PA",HC_1910_12_27.pdf,Strike at a coal mine. 
,1911.00,lynching,race,6,"Lake City, FL",Gilje,Six blacks used as targets and riddled with bullets for killing a white man in self-defense.
,1911.00,lynching,race,1,"Livermore, KY",Gilje,Black man charged with killing a white was taken from jail and brought to local opera house where the crowd paid for the privelage of shooting the man.
,1911.00,lynching,race,1,Missouri,Gilje,"White lynch black man, A.B. Richardson. Richardson had been arrested for stealing and the mob was really after another black for allegedly following a white woman."
,1911.08,riot,labor,1,Cleveland,Gilje,"August: Garment strike leads to rioting that included shooting, slugging and destruction of property. One death."
,1911.08,lynching,"extralegal, race",1,"Coatesville, PA",Gilje,"August: Lynching of Zachariaha Walker who had previously murdered a white man in a fight. The crowd took Walker from a hospital, he had attempted suicide at capture, brought him to a field and burned him alive. Crowd estimated at 4,000-5,000."
,1911.09,riot,"race, labor",4,"New Madrid Co, MO",Gilje,"September: Blacks hired to harvest cotton attacked by white mobs concerned with blacks taking jobs. Four blacks shot, hundreds flee area. Raids constructed on night of the 11th."
,1911.10,riot,labor,3,"McComb, MO",Gilje,"October: Hundreds of striking RR men attacked three cars full of strikebreakers heading for New Orleans. A 20 minute gun battle and melee left several dead. As a result the National Guard was sent to the area.	"
D,1911.10,lynching,race,1,MO,Gilje,October: A mob of 300 dragged two blacks from jail - one was charged with harassing a white woman. They whipped one and killed the other. The mob also burned a black boarding house.
,1911.10,lynching,race,1,MO,Gilje,"October: White mob seized Ben Woods from jail and whipped him severely. Woods had been arrested for following a white woman, although investigation revealed that he happened to be walking in the same direction. At the same time the mob also removed A.B. Richardson, a black who was often drunk and had been warned out of town. Richardson was abusive to his captors during Wood's beating, so he was beaten too. Next day Richardson's body was found in Mississippi River. His actions may have saved Wood's life."
,1911.10,riot,labor,6,"New Orleans	",Gilje,October: During strike against Illinois Central RR mobs constantly attacked non-strikers with stones and guns. As many as 15 to 20 RR cars destroyed a day. In one battle 6 killed and over 200 injured.
D,1912.00,riot,labor,16,"Cabin and Paint Creek areas, WV",Gilje,December-February: Intermittent violence between striking coal miners and company officials led to 16 deaths. These actions included running armed trains with machine guns through miners' camps and strikers attacking guards at Mucklow. In some instances women attacked strikebreakers with broomsticks.
,1912.00,riot,labor,2,"Edgewater, NJ",Gilje,"Battle at cod docks off the Erie and NY and Susquehanna RRs between Italian strikers and company guards. Strikers fire on landing police and guards, killing two."
D,1912.01,riot,labor,1,"Lawrence, MA",HC_1912_11_19.pdf,"Lawrence textile mill strike (Jan. 12, 1912). Anna Lopizzo was killed by a shot. 3 leaders of IWW were charged, but later declared not guilty."
,1912.01,riot,labor,2,"Lawrence, MA",Gilje,"January: Strikers hold massive parade to prevent the opening of the mills. Police and militia attacked the strikers and rioting followed throughout the day. Steetcars were stopped and windows smashed and police and strikers clashed. That evening a police officer shot and killed Anna, an Italian striker. The militia charged two strike leaders with beeing accessories to murder. Martial law ensued."
D,1912.06,riot,labor,1,"Perth Amboy, NJ",HC_1912_06_13.pdf,"Strike in the big factories. 2 strikers shot, 1 prob. fatally, 2 policemen injured"
,1912.06,riot,labor,7,"Perth Amboy, NJ",Gilje,"June: 5,000 Hungarian and Slav laborers struck five factories, including American Smelting and Refining Co., 500 scabs and guards occupy plant and shoot three strikers. On the 13th strikers hurl stones at plant and guards fire on them, killing four strikers."
,1912.07,riot,labor,4,"Grabow, LA",Gilje,"July: During lumber worker strike employees of the Galloway Lumber Company shot into a group of 200 listening to a speech outside the company gates. Some strikers fired back. In ten minutes, three union men lay dead, and the mortally wounded (4 fatalities) and another 40 wounded."
D?,1912.07,riot,labor,16,"Mucklow, WV",Gilje,July: Battle between coal miners and guards during strike. 12 killed miners and 4 Baldwin Felts guards.
,1912.08,riot,labor,1,"Dry Branch, WV",Gilje,"August: During coal miner strike, battle erupted between guards and strikers. One guard killed, three miners and two guards wounded in gun battle."
,1912.11,lynching,extralegal,1,"Steele, ND",Gilje,"November: After George Baker murdered his estranged wife and his father-in-law, a mob lynched him."
X,1913.00,assassination,personal,1,IL,Kirkham et al 1970,"B. P. Windsor, Mayor of Mt. Aubcorn, IL, was shot, killed by Fay D. State. Quarrel over editorial"
,1913.01,riot,labor,2,Pittsburgh,Gilje,"January: Conflict in strike by 1500 employees of subsidiary of US Steel. One shot dead, one mortally wounded, 12 injured."
,1913.02,riot,labor,16,"Mucklow, WV",Gilje,"February: Angered by the machine gunning of a tent encampment, miners marched on town and engaged in a battle with guards that left 12 miners and 4 guards dead.	"
,1913.02,riot,labor,1,"Mucklow, WV",Gilje,"February: Strikers attack coal camp, killing one. Posse tracked the attackers to striker tent camp of Holly Grove."
,1913.04,riot,labor,1,"Buffalo, NY",HC_1913_04_09.pdf,"Strike at Intl. Railway Co. Francis Murphy, a 13-y old boy, was prob. fatally wounded in an exchange of shot between strikers, strikebreakers and police."
,1913.04,riot,labor,1,"Patterson, NJ",Gilje,"April: During silk weaver's strike, a battle erupted between pickets and workers at the Weidman Silk and Dying Company. Stones thrown by both sides. About 20 shots fired at at least one person - a bystander - was killed. Many wounded. Two detectives charged with murder. Other acts of violence occurred during the strike."
,1913.05,riot,labor,1,NYC,Gilje,May: Mob of 500 strikers assail strikebreakers. Police fought with striking Polacks. Reportedly one killed.
,1913.06,riot,labor,1,"New Orleans	",Gilje,"June: Striking firemen (100 to 250) confront police at the gangplank of the ship Heredia preparing to depart. A shot triggered a battle in which the police shot six strikers (one later died) and several police were injured with rocks, etc. IWW involved."
,1913.06,riot,labor,1,"Patterson, NJ",Gilje,"June: Group of striking silk workers attack a former Patterson Silk worker who was employed in Astoria. One of the attackers, Vincenzo Madonna, was mortally wounded."
,1913.07,riot,prison,1,"Sing Sing, NY",Leeke 1973,7/23 1 inmate killed by another
,1913.08,riot,labor,1,"Calumet, MI",HC_1913_08_15.pdf,"Cooper mine strike. 1 striker killed, 2 dep. sheriffs injured"
,1913.08,lynching,race,1,"Charlotte, NC",Gilje,August: Mob took a black man named Joe McNeely out of Good Samaritan Hospital and shot him. McNeely charged with shooting and mortally wounding a policeman.
,1913.08,riot,labor,2,"Steubenville, OH",HC_1913_08_28.pdf,"Pope Tin Mill strike. 6 men were shot, 2 prob. fatally when guards fired into 2000 strikers"
D,1913.08,riot,labor,4,"Wheatland, CA",HC_1913_08_05.pdf,"Hop pickers riots. 4 killed, including a D.A. Manwell, a dep. sheriff, and 2 workmen."
,1913.08,riot,labor,4,"Wheatland, CA",Gilje,"August: When police burst into organizational meeting for farm workers and a deputy fired a shotgun, general rioting broke out. In the subsequent gun battle four men were killed - a deputy sheriff, the district attorney and two farm laborers."
,1913.09,riot,race,1,Baltimore,HC_1913_10_01.pdf,"1 black will prob. die, 1 injured; 4 white boys injured"
,1913.09,riot,ethnic,2,"Benton, IL",HC_1913_09_23.pdf,American vs Polish miners
,1913.09,riot,race,12,"Harriston, MI",Gilje,"September: Ten dead, 20 hurt in race riot. Supposedly two blacks on cocaine started it. Two blacks lynched. Details unclear."
,1913.10,riot,labor,2,"Calumet, MI",HC_1913_10_09.pdf,"1 deputy killed by striker, Joseph Maerich, who was fatally wounded "
,1913.10,riot,labor,1,"Forbes, CO",Gilje,October: Tent Colony of striking miners erupted into violence as strikers and mine guards clashed. Machine gun used by guards. At least one death.
,1913.10,riot,labor,4,"Walsenburg, CO",Gilje,"October: Conflict with striking coal miners began when deputies fired into crowd, killing three. This led to two days of intermittent fighting in the area between strikers and militia. At least one mine guard killed."
,1913.11,riot,labor,1,"Calumet, MI",HC_1913_11_27.pdf,Philip Mihencich shot by state militia
,1913.11,riot,labor,2,Indianapolis,NYT_1913_11_03.pdf,Fighting between strikers and strikebreakers
,1913.12,lynching,extralegal,1,"Williston, ND",Gilje,"December: Mob kills Cleve Calbertson, a convicted murderer whose sentence had been commuted to life in prison."
,1914.02,riot,labor,2,"Colliers, WV",HC_1914_02_14.pdf,"A strking miner, James Moore, was killed and Barry Lucs, a dep sheriff was perhaps fatally wounded"
,1914.02,lynching,race,1,Mississippi,Gilje,"February: Lynching of Samuel Petty for killing deputy sheriff. Petty was burned alive. Afterwards, reports of blacks organizing vigilantes to stop lynching."
,1914.04,riot,labor,200,Colorado Mine Fields,Gilje,"April: Sporadic violence during coal miners strike probably leads to 200 deaths. April 20, 1914, most infamous because the militia attack miner's tents and kill several miners, their wives and children. Battles at Delagua, Walsenburg and Forbes. Only arrival of federal troops defuses situation."
D,1914.04,riot,labor,25,"Ludlow, CO",HC_1914_04_22.pdf,Striking mines vs soldiers
,1914.04,riot,labor,26,"Ludlow, CO",Gilje,"April: Battle between miners and national guardsmen during strike. Tents set on fire, trapping women and children. Deaths on both sides. In addition to 11 children and 9 women, 5 men and one boy were killed by the militia."
D,1915.01,lynching,race,4,"Monticello, GA",NYT_1915_01_16.pdf,"Dan Barber, his son Jesse, and two married daughters, Bula and Ella Charles, negroes, were taken from the Jasper County Jail at Monticello, Ga., last night by a mob and lynched"
,1915.01,lynching,race,4,"Monticello, GA",Gilje,"A mob of 200 took the Barber family from jail and hanged them one by one, holding the father to last.The Barbers had beaten the local police chief when he had come to arrest them for bootlegging."
,1915.01,riot,labor,6,NJ,Gilje,"January: RR workers on strike waited to picket scabs. When a train pulled up, private deputies jumped out and began shooting. 28 men were wounded and six died of wounds.	"
,1915.01,lynching,race,1,"Vicksburg, MS",Gilje,"January: Mob took a young black man, who had been arrested for stealing some cattle, from a deputy sheriff, and lynched him."
,1915.02,riot,labor,1,"Farmington, WV",HC_1915_05_04.pdf,Fatal riot in Farmington last February
,1915.07,riot,labor,1,"Bayonne, NJ",Gilje,"July: Fighting between private guards and strikers at Standard Oil plant. Strikers used bricks and stones and a few revolvers. Guards had Winchesters. At least 12 strikers wounded, one killed."
,1915.07,riot,labor,1,"Massena, NY",NYT_1915_08_02.pdf,"Two companies of militia late this afternoon charged and put to rout more than 1,000 strikers who had barricaded themselves at one end of the bridge leading to the plant of the Aluminum Company of America. One man drowned in canal."
,1915.07,lynching,race,1,"Temple, TX",Gilje,"July: Mob took Will Stanley, a black charged with murder from police officers shortly after midnight. Crowd numbered 10,000 - included women. He was burned alive - pictures show burned body. "
,1915.08,lynching,race,1,"Bainbridge, GA",Gilje,"August: Mob shot a black man named John Riggins, filling his body with about 100 bullets. Riggins was accused of attacking a white woman."
,1915.08,lynching,extralegal,1,"Clarkesville, MO",Gilje,"October: Mob drowns Love Rudd, charged with robbery."
,1915.08,lynching,race,1,"Dresden, TN",Gilje,October: Mob lynches a man named Wilson for a crime against a white woman.
,1915.08,lynching,extralegal,1,"Marietta, GA",Gilje,"August: Mob of 25 to 30 men took Leo Frank out of prison at Milledgeville, drove 100 miles to Marietta and hanged him. The men called themselves a Vigilance Committee. Frank, a Northern Jew had been convicted of murdering a young white girl in a factory."
,1915.08,riot,"labor, race",4,Texas,Gilje,August: Whites hang farmer and three sons for harvesting the first cotton in the county.
,1915.10,riot,labor,1,"Nashua, NH",HC_1915_10_21.pdf,"1 killed, Adam Stivis"
,1915.12,lynching,extralegal,1,"Aberdeen, MS",Gilje,"December: Mob hanged John Taylor, said to have shot at a sheriff."
,1915.12,riot,political,1,"Charleston, SC",Gilje,December:  Election riot frightening whites. One killed. Troops called in.
,1915.12,lynching,race,1,"Colombus, MS",Gilje,December: Black boy taken by a mob and hanged for allegedly burning a white man's barn.
,1915.12,riot,race,6,"Early Co, GA",Gilje,"December: After a white had been killed for whipping a black boy, all kinds of interracial violence broke out. Four blacks were shot dead, two were burned alive, several whites wounded, and many buildings belonging to blacks burned."
,1915.12,lynching,race,2,"Eastman, Dodge Co, GA",Gilje,"December: Sam Blewd and Willie Stewart, charged with murdering a white merchant, were lynched."
,1915.12,lynching,race,1,"Forest City, AR",Gilje,"December: William (??), who had shot and killed a white in a quarrel, was hanged to a telephone pole."
,1915.12,lynching,race,1,"Henderson, KY",Gilje,"December: Mob lynches Ellis Beckner, accused of attacking a white woman."
,1916.01,lynching,race,5,"Lee Co, GA",Gilje,"January: Five blacks taken from jail and hanged. These men had resisted a sheriff and his posse, killing the sheriff. The Crisis says the real reason for lynching, etc., was (??)."
,1916.01,riot,religion,3,"Pittston, PA",NYT_1916_01_17.pdf,The riot occurred because one faction of Catholic church objected to a pastor appointment.
D,1916.01,riot,religion,3,"Pittston, PA",HC_1916_01_17.pdf,"Rival factions at the Church of the Sacred Heart. 1 killed, 2 prob. fatally injured. Catholics."
,1916.02,lynching,race,1,"Bartow Co, GA",Gilje,"February: A black man, Jesse McCarkle, charged with rape and lynched."
,1916.02,riot,race,6,"Early County, GA",Gilje,February: An argument over the right of a white man to whip a black youth led to a gun fight in which four blacks were killed and several whites wounded. Afterward two blacks were burned at the stake.
,1916.02,riot,labor,3,"East Youngstown, OH",Gilje,"February: Steelworkers on strike approached the plant near a bridge. A guard fire on them. The strikers retaliated with bricks. Gunfire became general and strikers set building on fire, etc. A million dollars worth of property destroyed, three strikers killed, 17 wounded, and many arrested. National Guard arrived next day to restore order."
,1916.04,riot,labor,1,Pittsburgh,HC_1916_04_30.pdf,"Westinghouse strike. 1 unidentified man killed (not Churchill) when guards shot at 15,000 strikers"
D,1916.05,riot,labor,2,Pittsburgh,NYT_1915_05_03.pdf,"2 strikers slain, 4 fatally wounded in a strike at the Edgar Thomson works of the Carnegie Steel Co. in Braddock"
,1916.05,riot,labor,2,Pittsburgh,Gilje,"May: Parade of strikers approached the Edgar Thomson Works. Guards fired, killing two. Strikers went on a rampage throughout Pittsburgh area, destroying steel property, etc. Troops were sent in, arrested strike leaders and quelled the disturbance."
,1916.05,lynching,race,1,"Waco, TX",EARR II:685,"Jesse Washington, a convicted murderer, was brutally lynched by a white crowd of 1500."
